#{"t_start": 1555726407.592253, "env_id": "Catcher3d-v1"}
r,l,t,scoring_reward
30.4318,250,4950.1082,0.0
34.1684,250,4961.7099,1.0
30.8027,250,4973.2144,0.0
32.5518,250,4984.8263,1.0
33.5889,250,4996.4146,0.0
43.3625,250,5008.0596,4.0
34.7446,250,5019.5626,0.0
32.521,250,5031.0085,1.0
39.4916,250,5042.4674,2.0
34.8015,250,5053.9895,1.0
35.2871,250,5065.5069,1.0
33.2165,250,5077.0113,0.0
32.7962,250,5086.0061,0.0
32.7631,250,5097.3597,0.0
31.7196,250,5108.9606,0.0
34.078,250,5120.2633,1.0
34.1561,250,5131.7017,0.0
33.0048,250,5144.4877,0.0
30.9927,250,5155.7964,0.0
35.2327,250,5167.0678,1.0
36.322,250,5178.532,1.0
31.9844,250,5189.946,0.0
34.6041,250,5201.4957,1.0
33.7684,250,5214.3071,0.0
39.7451,250,5226.1284,2.0
33.192,250,5237.5936,1.0
29.6064,250,5249.1107,0.0
31.2888,250,5260.7548,0.0
35.4161,250,5272.3138,1.0
36.2833,250,5283.7891,1.0
33.4612,250,5295.3078,0.0
34.9445,250,5306.9381,0.0
33.8797,250,5318.6079,0.0
31.9131,250,5327.7899,0.0
32.2234,250,5339.4621,1.0
32.7483,250,5351.0615,1.0
34.1514,250,5362.5549,0.0
33.8743,250,5373.975,0.0
31.1278,250,5385.7656,0.0
31.5607,250,5397.1328,0.0
37.1518,250,5408.4963,2.0
34.0151,250,5419.9647,0.0
34.3815,250,5431.4437,0.0
34.4529,250,5443.0245,0.0
31.8714,250,5455.2778,0.0
30.917,250,5467.3757,0.0
36.866,250,5478.9093,1.0
36.012,250,5490.4749,0.0
33.9368,250,5502.1747,0.0
36.057,250,5513.5973,0.0
39.8072,250,5525.0732,2.0
32.5713,250,5536.6942,1.0
35.2532,250,5548.2022,0.0
32.3494,250,5559.8814,0.0
32.2899,250,5569.1698,0.0
32.0118,250,5580.8494,1.0
40.5373,250,5592.378,2.0
33.0793,250,5603.9549,0.0
30.7187,250,5615.502,0.0
32.6428,250,5626.8011,0.0
37.0202,250,5638.4264,1.0
38.4088,250,5649.8264,2.0
34.9166,250,5661.2306,0.0
35.2566,250,5672.752,0.0
30.9449,250,5684.1838,0.0
33.8095,250,5695.8057,1.0
32.7377,250,5707.5148,0.0
35.03,250,5719.0488,1.0
33.5694,250,5730.6128,0.0
31.5761,250,5742.3556,0.0
35.6584,250,5753.8047,1.0
34.2203,250,5765.3102,1.0
37.4089,250,5778.2002,1.0
31.8576,250,5789.629,0.0
35.204,250,5801.0456,1.0
35.5866,250,5812.4234,1.0
36.5067,250,5821.585,1.0
39.0596,250,5832.89,2.0
38.8257,250,5844.2494,2.0
33.7951,250,5855.7091,0.0
34.2061,250,5867.0255,0.0
38.7088,250,5878.4299,1.0
35.9205,250,5889.8294,1.0
36.451,250,5901.3762,1.0
32.6571,250,5912.6962,0.0
36.7667,250,5924.2798,1.0
33.9849,250,5935.7885,0.0
36.9421,250,5947.5436,2.0
34.6772,250,5959.0975,0.0
36.8874,250,5970.6256,1.0
32.554,250,5982.3333,0.0
38.185,250,5993.814,2.0
37.0419,250,6005.359,0.0
38.9102,250,6016.7486,1.0
36.0801,250,6028.2502,0.0
37.7754,250,6039.8167,0.0
33.4882,250,6051.2035,0.0
33.8012,250,6060.3283,0.0
38.4471,250,6071.6389,1.0
38.9244,250,6083.274,2.0
33.2565,250,6095.887,0.0
33.5586,250,6107.3955,0.0
39.3787,250,6118.7568,2.0
34.1648,250,6130.1257,1.0
34.9236,250,6141.5732,1.0
31.2485,250,6153.2021,0.0
34.8338,250,6164.627,0.0
34.4907,250,6176.1493,0.0
34.7858,250,6187.951,0.0
35.3426,250,6199.6038,0.0
38.3218,250,6211.146,1.0
35.0846,250,6222.6924,1.0
34.7615,250,6234.2301,0.0
38.2785,250,6245.6612,1.0
41.636,250,6257.0825,3.0
34.7768,250,6268.6238,0.0
39.4825,250,6280.1038,2.0
34.2139,250,6291.6024,0.0
32.3796,250,6300.6699,0.0
34.5398,250,6312.0537,0.0
36.5375,250,6323.4748,1.0
43.5332,250,6334.9366,4.0
34.3747,250,6346.3711,0.0
40.7161,250,6357.7841,2.0
36.0197,250,6369.1891,1.0
35.5138,250,6380.6786,1.0
33.5396,250,6392.4716,0.0
36.6112,250,6405.0389,0.0
36.3113,250,6416.7967,1.0
37.4572,250,6428.5339,1.0
34.8925,250,6440.1149,0.0
37.5518,250,6451.6123,1.0
41.6045,250,6463.2202,3.0
33.5977,250,6474.7046,0.0
39.2257,250,6486.2048,2.0
37.9423,250,6497.7145,0.0
32.5713,250,6509.241,0.0
36.8279,250,6520.6918,1.0
35.6532,250,6532.2429,0.0
37.0621,250,6543.8619,0.0
36.3208,250,6552.9092,0.0
36.5561,250,6564.3312,0.0
35.2087,250,6575.7905,0.0
41.2857,250,6587.5052,1.0
34.8286,250,6599.0499,0.0
32.562,250,6610.5321,0.0
37.0759,250,6622.0448,1.0
36.5775,250,6633.4943,0.0
39.0482,250,6645.0209,2.0
38.2766,250,6656.5667,2.0
38.1937,250,6668.2265,1.0
36.3894,250,6679.7604,0.0
37.4192,250,6691.4225,1.0
39.3002,250,6702.877,1.0
37.1259,250,6714.2927,0.0
40.0038,250,6727.0756,1.0
39.8627,250,6738.5071,2.0
35.4876,250,6750.1575,0.0
34.8184,250,6761.6908,0.0
37.2358,250,6773.1699,1.0
35.7611,250,6784.7584,0.0
37.5451,250,6793.8339,1.0
32.9742,250,6805.203,1.0
34.706,250,6816.6738,0.0
34.549,250,6828.155,0.0
40.2543,250,6839.6359,2.0
35.428,250,6851.1131,0.0
39.756,250,6862.5571,2.0
43.693,250,6874.1691,4.0
35.7299,250,6885.5197,0.0
36.4611,250,6896.9231,1.0
37.7401,250,6908.5556,0.0
38.7495,250,6919.9535,2.0
40.786,250,6931.507,2.0
42.7065,250,6943.2042,3.0
43.541,250,6954.6846,3.0
38.3115,250,6966.0919,2.0
33.8065,250,6977.6306,0.0
35.6261,250,6989.6594,0.0
34.2835,250,7002.486,0.0
33.9098,250,7013.9542,0.0
36.3256,250,7025.8238,1.0
35.4165,250,7035.6028,0.0
39.255,250,7047.6113,1.0
37.4488,250,7059.248,1.0
38.0972,250,7070.6171,1.0
37.0817,250,7082.0721,0.0
35.6509,250,7093.5837,0.0
36.3747,250,7104.9878,1.0
37.4304,250,7116.3655,1.0
35.5193,250,7127.7839,0.0
42.0586,250,7139.4715,2.0
34.9033,250,7150.9478,0.0
37.1393,250,7162.486,0.0
38.2067,250,7174.0239,1.0
